Data Center ID,Agency Data Center ID,Legacy Data Center ID,Record Status,Record Validity,Agency Abbreviation,Component,Office Name,Data Center Name,Published Name,Core Classification,Non-core Sub-Category,City,State,Province,Zip Code,Country,Ownership Type,Colocation Provider,Colocation Provider Type,Government-Wide Provider,Providing Services,Percent Services Paid by Other Agencies,Other Agencies Serviced,Data Center Tier,Gross Floor Area,Total Customer Floor Area,Annual Cost per Sq Ft,FTE,FTE Cost,Electricity Included in Cost,Electricity is Metered,Total Power Capacity,Total IT Power Capacity,Avg Electricity Usage,Avg IT Electricity Usage,Cost per KWH,Rack Count,Total IBM Mainframes,Total Other Mainframes,Total Windows Servers,Total Unix Servers,Total Linux Servers,Total HPC Cluster Nodes,Other Servers,Total Virtual Hosts,Total Virtual OS,Total Storage,Used Storage,Closing Stage,Closing Fiscal Year,Closing Quarter,Real Property Disposition,Real Property Disposition Date,Total Floor Area Eliminated or Repurposed,Total Decommissioned Physical Servers,Total Servers Moved to Other Data Center,Overall FTE Reduction
FDCCI-DC-45736,FDCCI-DC-2782,,existing,Valid Facility,GSA,FAS,,3R-VA0080ZZ,"Sterling, VA",NonCore,,Sterling,VA,,"	20166",U.S.,Outsourcing,No,,,No,,,Tier 3,400,,583,40,,No,No,,,,,,37,0,0,7,3,14,3,0,7,49,149,101,Not closing,,,,Q2/2015,,16,,
FDCCI-DC-45650,FDCCI-DC-15757,,existing,Valid Facility,GSA,OGP,,3R-VA0279ZZ,CTI,NonCore,,Herndon,VA,,"	20170",U.S.,Outsourcing,No,,,No,,,Tier 3,12,,10,2.25,,Yes,No,,,,,,1,0,0,1,5,0,0,0,0,0,4,2.12,Not closing,,,,,,,,
FDCCI-DC-45737,FDCCI-DC-2669,,existing,Valid Facility,GSA,FAS,,8R-UT1515ZZ,"Salt Lake City, UT",NonCore,,Salt Lake City,UT,,"	84116",U.S.,Outsourcing,No,,,No,,,Tier 3,180,,42,2,,No,No,,,,,,15,0,2,12,1,8,0,0,19,19,54,45,Not closing,,,,,,,,
FDCCI-DC-45653,FDCCI-DC-14520,,existing,Valid Facility,GSA,FAS,,Savvis Elk Grove Village,Savvis Elk Grove Village,NonCore,,Elk Grove Village,IL,,"	60007",U.S.,Outsourcing,No,,,No,,,Tier 3,736,,12,2,,No,No,,,,,,34,0,0,8,3,5,0,0,4,37,149,80,Not closing,,,,Q2/2015,,8,,
FDCCI-DC-45738,FDCCI-DC-2515,,existing,Valid Facility,GSA,OCIO,,14 WW-VA0808,R14,NonCore,,FAIRFAX,VA,,"	22030",U.S.,Outsourcing,No,,,No,,,Tier 2,648,,12,0.24,,No,No,62.3,28.8,,0.98,,19,0,0,32,0,0,0,20,2,2,12,9,Closed,2013,Q2,Dispose at close,Q3/2013,648,48,4,0
FDCCI-DC-45651,FDCCI-DC-1033,,existing,Invalid Facility,GSA,FAS,,Elk Grove Village,"Elk Grove Village, Il",NonCore,,Elk Grove Village,IL,,"	60007",U.S.,Outsourcing,No,,,No,,,Tier 3,736,,12,,,No,No,,,,,,0,0,0,8,22,8,0,0,2,27,34,16,Not closing,,,,,,,,
FDCCI-DC-45739,FDCCI-DC-2514,,existing,Valid Facility,GSA,OCIO,,13R-DC0021A,R13,NonCore,,WASHINGTON,DC,,"	20405",U.S.,Agency Owned,No,,,No,,,Tier 2,3600,,12,2.42,,No,No,,,,0.81,,48,0,0,87,2,5,0,10,6,86,54.85,37.08,Closed,2013,Q4,Repurpose,Q4/2013,3600,77,33,0
FDCCI-DC-45654,FDCCI-DC-947,,existing,Valid Facility,GSA,FAS,,5R-MN0902,"Eagan, Mn",NonCore,,Eagan,MN,,"	55121",U.S.,Outsourcing,No,,,No,,,Tier 3,335,,49,12,,No,Yes,,,,,,18,0,1,10,1,5,0,0,23,23,67,51,Not closing,,,,,,,,
FDCCI-DC-45740,FDCCI-DC-2513,,existing,Valid Facility,GSA,FAS,,12CC-VA0905,R12,NonCore,,ARLINGTON,VA,,"	22202",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,3080,,12,0.02,,No,Yes,,,,0.71,,103,0,0,141,0,8,0,7,2,2,95,52,Closed,2013,Q4,Dispose at later date,Q4/2013,3080,28,128,0
FDCCI-DC-45752,FDCCI-DC-592,,existing,Valid Facility,GSA,PBS,,11R-VA0909 ,"Chantilly, VA",Core,,Chantilly,VA,,"	20151",U.S.,Outsourcing,No,,,No,,,Tier 3,4860,,12,20,,No,Yes,250,150,61,38,0.08,33,0,0,43,48,5,0,74,51,404,270.52,197.46,Not closing,,,,,,,,
FDCCI-DC-45741,FDCCI-DC-2512,,existing,Valid Facility,GSA,OCIO,,11R-DC0031,R11,NonCore,,WASHINGTON,DC,,"	20407",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,2400,,12,5.08,,No,No,,3.6,,0.9,,44,0,0,25,1,0,0,20,7,65,51.2,40.5,Not closing,,,,Q2/2015,,0,,
FDCCI-DC-45753,FDCCI-DC-586,,existing,Valid Facility,GSA,CFO/CPO,,9R-AZ0777ZZ,"CGI Phoenix, AZ",NonCore,,Phoenix,AZ,,"	85044",U.S.,Outsourcing,No,,,No,,,Tier 4,2240,,12,4,,No,No,,,,,,9,0,0,0,1,41,0,0,3,19,196,196,Not closing,,,,,,,,
FDCCI-DC-45742,FDCCI-DC-2511,,existing,Valid Facility,GSA,OCIO,,10R-WA0811,R10A,NonCore,,AUBURN,WA,,"	98001",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,380,,12,0.04,,No,No,,65,,1.87,,8,0,0,7,0,0,0,7,2,9,13.6,10.6,Not closing,,,,,,,,
FDCCI-DC-45754,FDCCI-DC-22676,,existing,Valid Facility,GSA,FAS,,Chantilly,Chantilly,NonCore,Special Purpose Processing Node,Chantilly,VA,,"	20151",U.S.,Outsourcing,No,,,No,,,Tier 3,616,,0,20,,No,No,,,,,,22,0,0,21,5,9,0,0,7,93,95,66,Not closing,,,,Q2/2015,,15,,
FDCCI-DC-45743,FDCCI-DC-2503,,existing,Valid Facility,GSA,OCIO,,9R-CA0154,R09,NonCore,,SAN FRANCISCO,CA,,"	94102",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,2400,,12,0.09,,No,Yes,173,173,57.6,57.6,0.11,19,0,0,5,0,1,0,2,5,33,18.87,8.43,Closed,2014,Q2,Repurpose,Q2/2014,2400,7,0,0
FDCCI-DC-45755,FDCCI-DC-5983,,existing,Added Facility,GSA,PBS,,2R-NY0282,2R-NY0282,NonCore,,New York,NY,,"	10278",U.S.,Agency Owned,No,,,No,,,,15,,0,0.03,,No,No,,,,,,0,0,0,11,0,0,0,9,2,13,7.006,5.911,Considering,,,,,,,,0
FDCCI-DC-45744,FDCCI-DC-2498,,existing,Valid Facility,GSA,OCIO,,8R-CO0516,R08,NonCore,,LAKEWOOD,CO,,"	80225",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,450,,12,0.15,,No,No,132,68,,32.4,,8,0,0,9,0,0,0,11,2,20,18.5,12.7,Not closing,,,,,,,,
FDCCI-DC-45756,FDCCI-DC-5984,,existing,Added Facility,GSA,PBS,,3R-PA0736,3R-PA0736,NonCore,,Philadelphia,PA,,"	19107",U.S.,Colocation,No,,,No,,,,28,,0,0.03,,No,No,,,,,,2,0,0,0,0,0,0,0,4,0,8.87,6.92,Considering,,,,Q2/2015,,9,,
FDCCI-DC-45745,FDCCI-DC-2496,,existing,Valid Facility,GSA,OCIO,,7R-TX0224ZZ,R07,Core,,FORT WORTH,TX,,"	76102",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,4484,,12,5.5,,No,Yes,570,300,2.12E+06,1.14E+06,0.12,71,0,0,32,45,0,0,68,38,271,320,125,Not closing,,,,Q2/2015,,0,,
FDCCI-DC-45757,FDCCI-DC-5985,,existing,Added Facility,GSA,PBS,,4R-GA0087,4R-GA0087,NonCore,,Atlanta,GA,,"	30308",U.S.,Colocation,No,,,No,,,,28,,0,0.03,,No,No,,,,,,1,0,0,2,0,0,0,0,0,0,0,0,Not closing,,,,,,,,
FDCCI-DC-45746,FDCCI-DC-2494,,existing,Valid Facility,GSA,OCIO,,6R-MO0544,R06,NonCore,,KANSAS CITY,MO,,"	64131",U.S.,Agency Owned,No,,,No,,,Tier 2,6864,,12,15.03,,No,Yes,798,778,312.3,179.5,0.07,7,0,0,2,2,0,0,7,2,16,0,0,Closed,2014,Q4,Repurpose,Q2/2015,6864,0,0,0
FDCCI-DC-45759,FDCCI-DC-5961,,existing,Added Facility,GSA,CPO,,6R-MO0544,6R-MO0544,NonCore,,Kansas City,MO,,"	64131",U.S.,Colocation,No,,,No,,,Tier 2,8,,0,0,,No,No,,,,,,0,0,0,5,0,0,0,0,0,0,0,0,Closed,2014,Q4,Repurpose,Q4/2014,8,5,0,0
FDCCI-DC-45747,FDCCI-DC-2490,,existing,Valid Facility,GSA,OCIO,,5R-IL0236,R05,NonCore,,CHICAGO,IL,,"	60604",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,720,,12,2.79,,No,No,64,64,,4.61,,17,0,0,8,0,0,0,13,5,32,37.38,19.78,Not closing,,,,Q2/2015,,1,,
FDCCI-DC-45760,FDCCI-DC-5960,,existing,Added Facility,GSA,CFO,,6R-MO0544,6R-MO0544,NonCore,,Kansas City,MO,,"	64131",U.S.,Colocation,No,,,No,,,,672,,0,5,,No,No,,,,,,0,0,0,7,0,4,0,6,7,69,70,36,Closed,2014,Q4,Repurpose,Q4/2014,672,20,17,0
FDCCI-DC-45748,FDCCI-DC-2489,,existing,Valid Facility,GSA,OCIO,,4R-GA0087,R04A,NonCore,,ATLANTA,GA,,"	30308",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,1808,,12,2.4,,No,No,7500,1437,,125,,28,0,0,10,0,0,0,7,2,10,32.3,24.4,Not closing,,,,,,,,
FDCCI-DC-45761,FDCCI-DC-5987,,existing,Added Facility,GSA,PBS,,7R-TX0224ZZ,7R-TX0224ZZ,NonCore,,Fort Worth,TX,,"	76102",U.S.,Colocation,No,,,No,,,,8,,0,0.03,,No,No,,,,,,1,0,0,1,0,0,0,0,5,31,37,16.65,Not closing,,,,,,,,
FDCCI-DC-45749,FDCCI-DC-2485,,existing,Valid Facility,GSA,OCIO,,3R-PA0736,R03,NonCore,,PHILADELPHIA,PA,,"	19107",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,1655,,12,1.39,,No,No,512,180,,33,,25,0,0,14,0,0,0,10,2,14,19.3,7.48,Considering,,,,,,0,,
FDCCI-DC-45762,FDCCI-DC-5959,,existing,Added Facility,GSA,CFO,,7R-TX0224ZZ,7R-TX0224ZZ,NonCore,,Fort Worth,TX,,"	76102",U.S.,Colocation,No,,,No,,,,196,,0,2,,No,No,,,,,,12,0,0,6,0,4,0,0,5,56,70,59,Not closing,,,,,,,,
FDCCI-DC-45750,FDCCI-DC-2484,,existing,Valid Facility,GSA,OCIO,,2R-NY0282,R02A,NonCore,,NEW YORK MANHATTAN,NY,,"	10278",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,960,,12,1.43,,No,No,66,3.6,,1.19,,24,0,0,11,1,0,0,9,2,13,7,5.9,Considering,,,,,,,,
FDCCI-DC-45763,FDCCI-DC-5988,,existing,Added Facility,GSA,PBS,,8R-CO0516,8R-CO0516,NonCore,,Denver,CO,,"	80215",U.S.,Colocation,No,,,No,,,,8,,0,0.03,,No,No,,,,,,1,0,0,2,0,0,0,0,3,1,16.85,5.8,Not closing,,,,,,,,
FDCCI-DC-45751,FDCCI-DC-2482,,existing,Valid Facility,GSA,OCIO,,1R-MA0153,R01A,NonCore,,BOSTON,MA,,"	02222",U.S.,Agency Owned,No,,,No,,,Tier 2,495,,12,0.66,,No,Yes,138,75,,11.9,,10,0,0,8,0,1,0,5,2,9,7.25,3.85,Not closing,,,,,,,,
FDCCI-DC-45764,FDCCI-DC-5989,,existing,Added Facility,GSA,PBS,,9R-CA0154,9R-CA0154,NonCore,,San Francisco,CA,,"	94102",U.S.,Outsourcing,No,,,No,,,,8,,0,2,,No,No,,,,,,1,0,0,0,0,0,0,0,3,19,5.55,4.19,Closed,2014,Q2,Repurpose,Q2/2014,2400,18,10,0
FDCCI-DC-45648,FDCCI-DC-1828,,existing,Valid Facility,GSA,CFO,,Lockheed Martin,Lockheed Martin,NonCore,,Landham,MD,,"	20705",U.S.,Outsourcing,No,,,No,,,Tier 3,1850,,12,3,,No,No,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,Not closing,,,,,,,,
FDCCI-DC-45765,FDCCI-DC-15070,,existing,Invalid Facility,GSA,FAS,,10R-WA0811,10R-WA0811,NonCore,,,WA,,,U.S.,Colocation,No,,,No,,,,14,,0,,,No,No,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,Not closing,,,,,,,,
FDCCI-DC-45766,FDCCI-DC-15069,,existing,Valid Facility,GSA,PBS,,10R-WA0811,10R-WA0811,NonCore,,,WA,,,U.S.,Colocation,No,,,No,,,,14,,0,0.03,,No,No,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,Not closing,,,,,,,,
FDCCI-DC-45767,FDCCI-DC-5990,,existing,Added Facility,GSA,PBS,,11R-DC0031,11R-DC0031,NonCore,,Washington,DC,,"	20407",U.S.,Colocation,No,,,No,,,,8,,0,0.03,,No,No,,,,,,1,0,0,1,0,0,0,0,5,11,0,0,Not closing,,,,,,2,,
FDCCI-DC-45768,FDCCI-DC-25094,,existing,Valid Facility,GSA,OCIO,,8R-MT9991,8R-MT9991,NonCore,,Helena,MT,,"	95601",U.S.,Agency Owned,No,,,No,,,,10,,0,0.03,,No,No,,,,,,1,0,0,1,0,0,0,0,0,0,0.3,0.2,Closed,2014,Q4,Repurpose,Q4/2014,10,1,0,0
FDCCI-DC-45769,FDCCI-DC-25091,,existing,Valid Facility,GSA,OCIO,,4R-MS9994,4R-MS9994,Core,,Stennis Space Center,MS,,"	39529",U.S.,Outsourcing,No,,,No,,,Tier 3,4150,,145,7.1,,No,Yes,1902.6,778,312.3,179.5,0.09,102,0,0,41,60,0,0,60,21,661,396.343,251.632,Not closing,,,,Q2/2015,,1,,
FDCCI-DC-45770,FDCCI-DC-22615,,existing,Valid Facility,GSA,FAS,,Terremark,Terremark,NonCore,Special Purpose Processing Node,Culpeper,VA,,"	22701",U.S.,Outsourcing,No,,,No,,,Tier 3,150,,936,0.08,,Yes,No,,,,,,4,0,0,10,0,1,0,0,3,6,32.77,31.13,Not closing,,,,,,,,
FDCCI-DC-45771,FDCCI-DC-22614,,existing,Valid Facility,GSA,FAS,,Vazata,Vazata,NonCore,Special Purpose Processing Node,Manassas,VA,,"	20109",U.S.,Colocation,No,,,No,,,Tier 3,400,,643,3.92,,Yes,No,,,,,,9,0,0,28,0,9,0,0,9,62,47.69,45.03,Not closing,,,,,,,,
FDCCI-DC-45772,FDCCI-DC-22193,,existing,Valid Facility,GSA,OCIO,,13R-DC0021C,13R-DC0021C,NonCore,Installation Processing Node,Washington,DC,,"	20405",U.S.,Agency Owned,No,,,No,,,Tier 1,1200,,0,0.03,,No,No,,,,,,33,0,0,20,7,0,0,25,19,484,165.06,113.3,Not closing,,,,Q2/2015,,0,,
FDCCI-DC-45758,FDCCI-DC-5991,,existing,Added Facility,GSA,PBS,,6R-MO0544,6R-MO0544,NonCore,,Kansas City,MO,,"	64131",U.S.,Colocation,No,,,No,,,,644,,0,0,,No,No,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Closed,2014,Q4,Repurpose,Q4/2014,644,27,42,0
FDCCI-DC-45649,FDCCI-DC-5986,,existing,Added Facility,GSA,PBS,,5R-IL0236,5R-IL0236,NonCore,,Chicago,IL,,"	60604",U.S.,Colocation,No,,,No,,,,28,,0,0.03,,No,No,,,,,,0,0,0,0,0,0,0,0,0,0,16.85,5.34,Not closing,,,,,,,,
FDCCI-DC-45652,FDCCI-DC-5979,,existing,Added Facility,GSA,OCIO,,9R-HI0011 - (ROOM 1-336),9R-HI0011 - (ROOM 1-336),NonCore,,Honolulu,HI,,"	96850",U.S.,Agency Owned,No,,,No,,,,132,,0,0.04,,No,No,7.2,7.2,,11.04,,1,0,0,3,0,0,0,0,0,0,0.21,0.13,Not closing,,,,,,,,
FDCCI-DC-45655,FDCCI-DC-5957,,existing,Added Facility,GSA,OCIO,,9R-HI0011,9R-HI0011,NonCore,,Honolulu,HI,,"	96850",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,176,,0,0.18,,No,No,7.2,7.2,,89.28,,1,0,0,2,0,0,0,0,0,0,0,0,Equipment Removal,2016,Q1,,,,,,
FDCCI-DC-45656,FDCCI-DC-5956,,existing,Added Facility,GSA,OCIO,,9R-CA5939ZZ,9R-CA5939ZZ,NonCore,,SAN DIEGO,CA,,"	92101",U.S.,Outsourcing,No,,,No,,,Server Room/Closet,121,,0,0.07,,No,No,7.2,7.2,,78.1,,1,0,0,3,0,0,0,0,0,0,0,0,Closed,2013,Q4,Repurpose,Q4/2013,121,1,0,0
FDCCI-DC-45657,FDCCI-DC-5955,,existing,Added Facility,GSA,OCIO,,9R-CA0041ZZ,9R-CA0041ZZ,NonCore,,Los Angeles,CA,,"	90012",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,16,,0,0.04,,No,No,4.8,2.4,,55.68,,1,0,0,2,0,0,0,0,0,0,0,0,Closed,2014,Q3,Repurpose,Q2/2014,16,2,0,0
FDCCI-DC-45658,FDCCI-DC-5954,,existing,Added Facility,GSA,OCIO,,9R-CA0273ZZ,9R-CA0273ZZ,NonCore,,Long Beach,CA,,"	90802",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,9,,0,0.02,,No,No,4.8,2.4,,33.36,,1,0,0,1,0,0,0,0,0,0,0,0,Closed,2014,Q4,Repurpose,Q2/2014,9,1,0,0
FDCCI-DC-45659,FDCCI-DC-5953,,existing,Added Facility,GSA,OCIO,,9R-CA6547,9R-CA6547,NonCore,,SAN DIEGO,CA,,"	92131",U.S.,Outsourcing,No,,,No,,,Server Room/Closet,320,,0,0.04,,No,No,11.5,11.5,,61.82,,2,0,0,2,0,0,0,0,0,0,0.57,0.09,Closed,2013,Q4,Repurpose,Q4/2013,320,2,0,0
FDCCI-DC-45660,FDCCI-DC-5952,,existing,Added Facility,GSA,OCIO,,9R-CA0305ZZ,9R-CA0305ZZ,NonCore,,San Francisco,CA,,"	94103",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,125,,0,0.04,,No,No,11.5,11.5,,55.68,,1,0,0,2,0,0,0,0,0,0,0,0,Closed,2014,Q2,Repurpose,Q2/2014,125,2,0,0
FDCCI-DC-45661,FDCCI-DC-5951,,existing,Added Facility,GSA,OCIO,,9R-CA0167ZZ,9R-CA0167ZZ,NonCore,,SAN DIEGO,CA,,"	92101",U.S.,Outsourcing,No,,,No,,,Server Room/Closet,125,,0,0.04,,No,No,11.5,11.5,,55.68,,1,0,0,2,0,0,0,0,0,0,0,0,Closed,2013,Q3,Repurpose,Q3/2013,125,0,2,0
FDCCI-DC-45662,FDCCI-DC-5950,,existing,Added Facility,GSA,OCIO,,9R-CA9991,9R-CA9991,NonCore,,French Camp,CA,,"	95231",U.S.,Outsourcing,No,,,No,,,Server Room/Closet,480,,0,1.08,,No,No,149,149,,328.7,,9,0,0,0,0,0,0,1,0,0,0.6,0.26,Closed,2014,Q4,Repurpose,Q4/2014,480,19,3,0
FDCCI-DC-45663,FDCCI-DC-5949,,existing,Added Facility,GSA,OCIO,,9R-CA0152ZZ,9R-CA0152ZZ,NonCore,,SACRAMENTO,CA,,"	95814",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,16,,0,0.04,,No,No,4.8,2.4,,55.68,,1,0,0,2,0,0,0,0,0,0,0,0,Closed,2013,Q4,Repurpose,Q4/2013,16,0,0,0
FDCCI-DC-45664,FDCCI-DC-5948,,existing,Added Facility,GSA,OCIO,,9R-CA0091AA,9R-CA0091AA,NonCore,,SAN FRANCISCO,CA,,"	94111",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,9,,0,0.04,,No,No,4.8,2.4,,55.68,,1,0,0,2,0,0,0,0,0,0,0,0,Closed,2014,Q1,Repurpose,Q2/2014,9,2,0,0
FDCCI-DC-45665,FDCCI-DC-5947,,existing,Added Facility,GSA,OCIO,,9R-NV0013ZZ,9R-NV0013ZZ,NonCore,,Las Vegas,NV,,"	89101",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,16,,0,0.04,,No,No,4.8,2.4,,55.68,,1,0,0,2,0,0,0,0,0,0,0,0,Closed,2013,Q4,Repurpose,Q4/2013,16,2,0,0
FDCCI-DC-45666,FDCCI-DC-5946,,existing,Added Facility,GSA,OCIO,,9R-HI9991,9R-HI9991,NonCore,,HONOLULU,HI,,"	96853",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,120,,0,0.02,,No,No,11.5,11.5,,47.9,,1,0,0,1,0,0,0,0,0,0,0.6,0.26,Equipment Removal,2016,Q2,Repurpose,,,,,
FDCCI-DC-45667,FDCCI-DC-5945,,existing,Added Facility,GSA,OCIO,,9R-CA0295ZZ,9R-CA0295ZZ,NonCore,,SANTA ANA,CA,,"	92701",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,9,,0,0.02,,No,No,4.8,2.4,,33.36,,1,0,0,1,0,0,0,0,0,0,0,0,Closed,2013,Q3,Repurpose,Q4/2013,9,1,0,0
FDCCI-DC-45668,FDCCI-DC-5944,,existing,Added Facility,GSA,OCIO,,9R-AZ0303ZZ,9R-AZ0303ZZ,NonCore,,PHOENIX,AZ,,"	85003",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,16,,0,0.04,,No,No,4.8,2.4,,55.68,,1,0,0,2,0,0,0,0,0,0,0,0,Closed,2014,Q2,Repurpose,Q2/2014,16,2,0,0
FDCCI-DC-45669,FDCCI-DC-5943,,existing,Added Facility,GSA,OCIO,,9R-CA0915,9R-CA0915,NonCore,,MENLO PARK,CA,,"	94025",U.S.,Outsourcing,No,,,No,,,Server Room/Closet,9,,0,0.02,,No,No,4.8,2.4,,33.36,,1,0,0,1,0,0,0,0,0,0,0,0,Closed,2013,Q3,Repurpose,Q3/2013,9,0,1,0
FDCCI-DC-45670,FDCCI-DC-5942,,existing,Added Facility,GSA,OCIO,,9R-HI6697ZZ,9R-HI6697ZZ,NonCore,,HONOLULU,HI,,"	96819",U.S.,Outsourcing,No,,,No,,,Server Room/Closet,10,,0,0.04,,No,No,4.8,2.4,,55.68,,1,0,0,1,0,0,0,2,0,0,0,0,Migration Planning,2016,Q2,,Q2/2015,,,,
FDCCI-DC-45671,FDCCI-DC-5941,,existing,Added Facility,GSA,OCIO,,9R-AZ0058ZZ,9R-AZ0058ZZ,NonCore,,TUCSON,AZ,,"	85701",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,16,,0,0.04,,No,No,4.8,2.4,,55.68,,1,0,0,2,0,0,0,0,0,0,0,0,Closed,2013,Q4,Repurpose,Q4/2013,16,2,0,0
FDCCI-DC-45672,FDCCI-DC-5940,,existing,Added Facility,GSA,OCIO,,9R-CA0150CC,9R-CA0150CC,NonCore,,Los Angeles,CA,,"	90012",U.S.,Agency Owned,No,,,No,,,Server Room/Closet,493,,0,0.09,,No,No,26,26,,177.43,,3,0,0,4,0,0,0,0,0,0,0,0,Closed,2013,Q4,Repurpose,Q4/2013,493,2,2,0
